,Bovine_Sheep_Pigmeat_Poultry,Cereals,Milk_Egg,Fish_x, Av 2011+2012+2013 extracted from WDI (constant 2010 US$),Country,Code,Income group_y,Region_y,Continent
91,6.7299999999999995,52.19,2.19,0.26,1263.549254,Lesotho,LSO,Lower middle income,Sub-Saharan Africa,Africa
92,4.46,21.61,0.9400000000000001,1.15,560.5202039,Liberia,LBR,Low income,Sub-Saharan Africa,Africa
93,25.47,33.82,30.26,16.64,13660.101830000001,Lithuania,LTU,High income,Europe & Central Asia,Eurpoe
94,32.150000000000006,24.87,28.57,8.26,103797.0358,Luxembourg,LUX,High income,Europe & Central Asia,Eurpoe
95,5.27,28.46,2.39,1.45,407.3481335,Madagascar,MDG,Low income,Sub-Saharan Africa,Africa
96,3.39,34.11,0.8,2.11,466.8942578,Malawi,MWI,Low income,Sub-Saharan Africa,Africa
97,18.03,26.7,6.779999999999999,17.42,9689.093047,Malaysia,MYS,Upper middle income,East Asia & Pacific,Asia
98,8.67,23.47,12.14,60.26,7575.283061,Maldives,MDV,Upper middle income,South Asia,Asia
99,8.120000000000001,45.61,10.29,1.98,690.3857526,Mali,MLI,Low income,Sub-Saharan Africa,Africa
100,26.580000000000002,31.67,21.150000000000002,8.41,21758.37785,Malta,MLT,High income,Middle East & North Africa,Eurpoe
101,8.64,37.94,17.15,2.99,1256.0,Mauritania,MRT,Lower middle income,Sub-Saharan Africa,Africa
102,18.6,34.12,13.31,7.12,8580.74,Mauritius,MUS,Upper middle income,Sub-Saharan Africa,Africa
103,19.49,33.78,14.84,3.09,9337.954868,Mexico,MEX,Upper middle income,Latin America & Caribbean,North America
104,24.509999999999998,26.04,12.97,0.3,3368.310696,Mongolia,MNG,Lower middle income,East Asia & Pacific,Asia
105,24.55,27.8,31.93,3.07,6836.99625,Montenegro,MNE,Upper middle income,Europe & Central Asia,Eurpoe
106,11.879999999999999,57.24,7.02,5.41,3002.223247,Morocco,MAR,Lower middle income,Middle East & North Africa,Africa
107,2.71,22.22,0.9299999999999999,2.38,454.280214399999,Mozambique,MOZ,Low income,Sub-Saharan Africa,Africa
108,12.84,30.68,5.76,14.4,1106.419254,Myanmar,MMR,Lower middle income,East Asia & Pacific,Asia
109,9.0,22.42,6.27,3.21,5510.969091,Namibia,NAM,Upper middle income,Sub-Saharan Africa,Africa
110,4.11,39.19,5.4799999999999995,0.65,626.0222617000001,Nepal,NPL,Low income,South Asia,Asia
111,26.22,22.06,33.47,7.38,50373.45577,Netherlands,NLD,High income,Europe & Central Asia,Eurpoe
112,27.44,22.12,14.43,7.4,,New Caledonia,NCL,High income,East Asia & Pacific,Australia
113,34.13,22.25,12.45,6.77,34925.69,New Zealand,NZL,High income,East Asia & Pacific,Australia
114,7.5,31.07,8.89,1.34,1680.2501350000002,Nicaragua,NIC,Lower middle income,Latin America & Caribbean,North America
115,5.470000000000001,34.4,5.7,0.88,361.8307269,Niger,NER,Low income,Sub-Saharan Africa,Africa
116,3.0199999999999996,30.18,1.78,4.31,2403.074415,Nigeria,NGA,Lower middle income,Sub-Saharan Africa,Africa
117,22.78,27.74,25.44,15.21,88236.44565,Norway,NOR,High income,Europe & Central Asia,Eurpoe
118,21.0,27.3,16.08,6.31,18014.88505,Oman,OMN,High income,Middle East & North Africa,Asia
119,5.59,29.85,19.68,0.61,1063.653974,Pakistan,PAK,Lower middle income,South Asia,Asia
120,20.64,25.11,12.36,5.04,9464.359665,Panama,PAN,High income,Latin America & Caribbean,North America
121,18.1,21.15,12.11,1.12,4554.515899,Paraguay,PRY,Upper middle income,Latin America & Caribbean,South America
122,10.149999999999999,27.47,7.66,5.75,5519.131684,Peru,PER,Upper middle income,Latin America & Caribbean,South America
123,11.219999999999999,27.37,2.6799999999999997,9.48,2283.2450940000003,Philippines,PHL,Lower middle income,East Asia & Pacific,Asia
124,27.79,35.56,17.73,5.3,13429.65413,Poland,POL,High income,Europe & Central Asia,Eurpoe
125,30.31,28.63,19.880000000000003,13.89,21580.26501,Portugal,PRT,High income,Europe & Central Asia,Eurpoe
126,19.45,28.55,6.32,16.18,23177.96,Republic of Korea,KOR,High income,East Asia & Pacific,Asia
