,Bovine_Sheep_Pigmeat_Poultry,Cereals,Milk_Egg,Fish_x,stunting(percentage),overweight(percentage),Country,Code,Income group,Region,Continent,principal component 1,principal component 2,Continent_Cluster,Region_Cluster,Income group_Cluster
18,21.259999999999998,23.68,5.58,0.65,16.1,10.1,Bolivia (Plurinational State of),BOL,Lower middle income,Latin America & Caribbean,South America,0.6351848395981965,0.24863454175488475,0,3,3
19,11.350000000000001,37.47,17.02,1.31,8.9,17.4,Bosnia and Herzegovina,BIH,Upper middle income,Europe & Central Asia,Eurpoe,1.8208455723420176,-1.5002954340285637,4,1,1
20,6.56,26.88,10.43,1.08,31.4,11.2,Botswana,BWA,Upper middle income,Sub-Saharan Africa,Africa,-0.3999296704753587,-0.6384229007252694,2,6,0
21,31.869999999999997,22.38,15.71,2.84,7.0,6.4,Brazil,BRA,Upper middle income,Latin America & Caribbean,South America,1.997276447247675,0.9848925381863434,5,5,3
22,28.029999999999998,27.04,11.170000000000002,10.63,19.7,8.3,Brunei Darussalam,BRN,High income,East Asia & Pacific,Asia,1.1085463686884356,1.046305631855153,0,3,3
23,18.189999999999998,32.9,16.83,1.91,8.8,13.6,Bulgaria,BGR,Upper middle income,Europe & Central Asia,Eurpoe,1.8647605289388334,-0.7012800238164233,5,1,1
24,5.31,45.78,3.2699999999999996,2.2,21.1,1.7,Burkina Faso,BFA,Low income,Sub-Saharan Africa,Africa,-1.3166930936805747,-1.236319112996141,2,6,0
26,4.74,34.17,0.6699999999999999,12.93,32.4,2.2,Cambodia,KHM,Lower middle income,East Asia & Pacific,Asia,-1.998840777313421,0.4925245815149669,1,0,2
27,3.8600000000000003,25.15,1.52,4.58,31.7,6.7,Cameroon,CMR,Lower middle income,Sub-Saharan Africa,Africa,-1.587474376564608,0.13627155985411415,1,2,0
29,10.569999999999999,13.08,1.5499999999999998,2.49,39.6,1.9,Central African Republic,CAF,Low income,Sub-Saharan Africa,Africa,-1.96705909282886,1.2216587487793753,1,0,2
30,4.81,35.98,1.9300000000000002,1.93,39.8,2.8,Chad,TCD,Low income,Sub-Saharan Africa,Africa,-2.1348783194523433,-0.7896862061626476,2,2,0
