Primary_Religion,Urban.Rural,Travel_time_to_cities group,dist_popcenter group,dist_road group,MMD10
0,0,13,1,1,2
0,0,13,1,1,1
0,0,13,1,1,1
0,0,13,1,1,1
0,0,13,1,1,1
0,0,13,1,1,3
0,0,13,1,1,2
0,0,13,1,1,3
0,0,13,1,1,3
0,0,13,1,1,2
0,0,13,1,1,1
0,0,13,1,1,2
0,0,13,1,1,2
0,0,13,1,1,2
0,0,13,1,1,1
0,0,13,1,1,1
0,0,17,3,4,2
0,0,17,3,4,3
0,0,17,3,4,3
0,0,17,3,4,3
0,0,17,3,4,3
0,0,17,3,4,2
0,0,17,3,4,1
0,0,17,3,4,1
0,0,17,3,4,1
0,0,17,3,4,1
0,0,17,3,4,2
0,0,17,3,4,2
0,0,17,3,4,1
0,0,17,3,4,1
0,0,17,3,4,1
0,0,17,3,4,2
0,0,11,1,1,1
0,0,11,1,1,2
0,0,11,1,1,2
0,0,11,1,1,2
0,0,11,1,1,2
0,0,11,1,1,2
0,0,11,1,1,2
0,0,11,1,1,2
0,0,11,1,1,1
0,0,11,1,1,2
0,0,11,1,1,1
0,0,11,1,1,2
0,0,11,1,1,1
0,0,11,1,1,2
0,0,11,1,1,2
0,0,11,1,1,1
0,0,9,7,1,1
0,0,9,7,1,1
0,0,9,7,1,1
0,0,9,7,1,1
0,0,9,7,1,1
0,0,9,7,1,1
0,0,9,7,1,2
0,0,9,7,1,2
0,0,9,7,1,1
0,0,9,7,1,1
0,0,9,7,1,2
0,0,9,7,1,1
0,0,9,7,1,2
0,0,9,7,1,1
0,0,9,7,1,2
0,0,9,7,1,1
0,0,11,5,1,1
0,0,11,5,1,1
0,0,11,5,1,1
0,0,11,5,1,1
0,0,11,5,1,2
0,0,11,5,1,1
0,0,11,5,1,2
0,0,11,5,1,2
0,0,11,5,1,2
0,0,11,5,1,2
0,0,11,5,1,2
0,0,11,5,1,2
0,0,11,6,1,1
0,0,11,6,1,1
