HouseholdId,Our_HouseholdId,Cell_Coord_y_round,Cell_Coord_x_round,MDD21,MDD22,MDD23,MDD24,MDD25,MDD26,MDD27,MDD28,MDD29,MDD30,MMD10,Urban.Rural,fao1,fao2,fao3,fao4,fao5,fao6,fao7,fao8,fao9,fao10,fao11,fao12,FAO12,ISO3N,Primary_Religion,Percent_Primary_Religion,Percent_Christian,GDP_PPP_2015,GDP_PPP_2000,GDP_PPP_1990,Population_2015,Population_2000,Population_1990,Cell_Coord_x,Cell_Coord_y,PerCapita_GDP_2000,PerCapita_GDP_1990,ISO3C,Continent,World_Region,Travel_time_to_cities group,PerCapita_GDP_2015 group,dist_popcenter group,dist_road group
101012000000.0,32,-9.92,33.42,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,7,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101014000000.0,49,-9.58,33.25,1,1,0,0,1,0,1,0,1,0,2,0,1,1,1,1,0,0,0,0,0,1,0,1,6,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101014000000.0,50,-9.58,33.25,1,1,0,1,1,0,0,0,1,0,2,0,1,0,1,1,1,0,1,1,1,1,0,1,9,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101014000000.0,51,-9.58,33.25,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,6,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101014000000.0,52,-9.58,33.25,1,1,0,0,1,0,0,0,1,1,2,0,1,1,1,1,1,1,0,1,1,1,0,1,10,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101014000000.0,53,-9.58,33.25,1,1,1,1,1,0,0,0,1,0,2,0,1,1,1,1,0,0,1,1,0,1,0,1,8,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,10,1
101014000000.0,54,-9.58,33.25,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,7,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,10,1
101014000000.0,55,-9.58,33.25,1,1,0,1,1,0,1,0,1,0,2,0,1,0,1,1,0,0,1,0,0,1,0,1,6,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,10,1
101014000000.0,56,-9.58,33.25,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,6,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,10,1
101014000000.0,57,-9.58,33.25,1,0,0,0,1,0,1,0,1,1,2,0,1,1,0,1,0,1,0,0,0,1,0,1,6,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,10,1
