,dairy,eggs,meat_fish,nuts_pulses,grains_tubers,animal_source_foods,Primary_Religion,Population_2015,Travel_time_to_cities,Soil_suit_overall,Soil_suit_cereals,Soil_suit_pulses,Soil_suit_roots,ISO3C,Entity,Code,Year, (g/person/day),Travel_time_to_cities_group,Soil_suit_overall_group,dairy_group,eggs_group,meat_fish_group,nuts_pulses_group,grains_tubers_group
12406,0.0769230769230769,0.23076923076923103,0.307692307692308,0.31818181818181795,0.95,0.615384615384615,1,131595.8,0.5088613000000001,5.689881,5.965656,5.01083,4.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,3,1,1,2,2,4
12407,0.0,0.0,0.0208333333333333,0.0,0.85,0.0208333333333333,1,51886.48,6.453546,6.350773,6.946214,6.71639,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,4
12408,0.0,0.14285714285714302,0.5714285714285711,0.14285714285714302,0.7142857142857142,0.7142857142857142,1,85112.63,25.13552,6.882802000000001,6.996192,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,3,1,3
12409,0.33333333333333304,0.0,0.0,0.0,0.666666666666667,0.25,1,3872.565,38.95643,6.885575,6.996179,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,1,1,1,3
12411,0.166666666666667,0.22962962962963,0.472222222222222,0.20392156862745103,1.43809523809524,0.8314814814814809,1,4547622.0,0.0,7.177751,6.94428,6.858194999999999,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,2,1,6
12508,0.222222222222222,0.111111111111111,0.0476190476190476,0.0612244897959184,0.7380952380952379,0.38095238095238104,1,16414.06,15.27639,5.8131010000000005,5.965669,5.01083,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,3,1,1,1,1,3
12509,0.33333333333333304,0.0,0.14285714285714302,0.0,1.6666666666666698,0.36734693877551006,1,14831.87,11.23368,5.817680999999999,5.965669,5.01083,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,3,2,1,1,1,7
12510,0.38888888888888895,0.15,0.25,0.125,0.7346938775510201,0.75,1,258825.0,2.0,5.770618,5.983224,5.858194999999999,4.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,3,2,1,2,1,3
12511,0.33333333333333304,0.1875,0.4791666666666671,0.125,1.3125,1.0,1,31614.19,27.65887,5.747493,5.965669,5.858194999999999,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,3,2,1,2,1,6
12512,0.0714285714285714,0.2,0.14285714285714302,0.24285714285714302,0.654761904761905,0.38571428571428606,1,54347.68,16.92756,5.862228,5.965656,5.01083,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,3,1,1,1,1,3
12514,0.18181818181818202,0.0,0.0833333333333333,0.0,0.9090909090909091,0.25,1,3628.245,10.6102,6.895117,6.996179,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,4
12517,0.242063492063492,0.20310559006211198,0.191304347826087,0.212337662337662,0.703571428571429,0.575155279503106,1,3042.462,6.776445,7.569729,7.944267999999999,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,3
12518,0.20448979591836802,0.155677655677656,0.143589743589743,0.14517374517374498,0.7220779220779209,0.464835164835165,1,5085.621,9.001092,6.180075,5.974781,5.858194999999999,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,3
12617,0.42857142857142894,0.28571428571428603,0.5714285714285711,0.0,1.0,1.28571428571429,1,49523.85,28.32058,5.788930000000001,5.965669,5.01083,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,3,2,2,3,1,5
12618,0.2,0.22727272727272702,0.18181818181818202,0.136363636363636,0.55,0.590909090909091,1,176.5984,31.77812,6.487741000000001,6.946249000000001,7.71639,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,3
12619,0.107142857142857,0.375,0.25,0.204081632653061,0.8979591836734692,0.732142857142857,1,1814.1729999999998,38.96437,7.551845,7.944267999999999,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,2,2,1,4
12620,0.3125,0.166666666666667,0.14529914529914498,0.277777777777778,0.625,0.58974358974359,2,204230.7,19.48702,7.738977,7.9209830000000006,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,1,1,2,3
12722,0.0,0.0,0.18181818181818202,0.125,0.5,0.18181818181818202,1,1225.849,11.7021,6.2345,5.974781,5.858194999999999,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,3
